optimizer,evaluations,runs,best_mae_median,best_mae_q25,best_mae_q75,gap_closed,gap_closed_q25,gap_closed_q75,cap,share_of_evaluations_meeting_cap,share_of_random_meeting_cap,median_random_meeting_cap,best_known_meeting_cap
random search,39,50,0.30011140790173296,0.2938698511171531,0.3162832915473692,0.3781876550703954,0.21596471668246492,0.44079778162685784,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,40,50,0.29932059037915004,0.2936622663227192,0.3160232347071589,0.38612048126758836,0.21857339144733637,0.44288010030139324,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,41,50,0.2986622691023177,0.2935790157141432,0.312259148553242,0.3927242149000561,0.2563315852121352,0.4437152014338097,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,42,50,0.29689587056447897,0.29325789741229075,0.31162214066449906,0.41044326157707434,0.262721520593352,0.44693639419268194,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,43,50,0.29689587056447897,0.29325789741229075,0.31162214066449906,0.41044326157707434,0.262721520593352,0.44693639419268194,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,44,50,0.29668989573953136,0.2928518940691332,0.3101796074742688,0.4125094303715772,0.2771918184243908,0.4510090833589876,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,45,50,0.29668989573953136,0.2928518940691332,0.3101796074742688,0.4125094303715772,0.2771918184243908,0.4510090833589876,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,46,50,0.2963995272154242,0.29229482393060346,0.3101796074742688,0.4154221668361845,0.2771918184243908,0.45659714945819285,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,47,50,0.2963995272154242,0.2917191003519531,0.3101796074742688,0.4154221668361845,0.2771918184243908,0.46237233141438216,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,48,50,0.2963995272154242,0.2917191003519531,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.46237233141438216,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,49,50,0.2963995272154242,0.2917191003519531,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.46237233141438216,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,50,50,0.2963995272154242,0.2917191003519531,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.46237233141438216,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,51,50,0.2963995272154242,0.2917191003519531,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.46237233141438216,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,52,50,0.2963995272154242,0.29119494501141235,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,53,50,0.2963995272154242,0.29119494501141235,0.3067088243446797,0.4154221668361845,0.3120078392495922,0.4676302235299485,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
